id,initial_review_count,initial_positive_review_count,initial_negative_review_count,initial_top_critic_review_count,initial_positive_review_ratio,initial_combined_sentiment_score,initial_combined_sentiment_label,log_initial_review_count,initial_sentiment_x_log_review_count,first_review_date,last_review_date_in_window
11408,6,2,4,2,0.3333333333333333,-0.42857142857142855,negative,1.9459101490553132,-0.833961492452277,2010-10-22,2010-10-29
1141099-hostage,80,22,58,26,0.275,-0.4946236559139785,negative,4.394449154672439,-2.173598506612174,2005-03-11,2005-03-20
1141102-are_we_there_yet,60,10,50,21,0.16666666666666666,-0.6879432624113475,negative,4.110873864173311,-2.8280479774809306,2005-01-21,2005-01-29
1141193-hide_and_seek,80,6,74,27,0.075,-0.839572192513369,negative,4.394449154672439,-3.6894573116768608,2005-01-28,2005-02-06
1142569-cursed,59,10,49,16,0.1694915254237288,-0.6865671641791045,negative,4.0943445622221,-2.8110425352569646,2005-02-25,2005-03-06
1142872-sky_high,62,41,21,21,0.6612903225806451,0.296551724137931,positive,4.143134726391533,1.228653746447144,2005-07-29,2005-08-07
1144274-sahara,85,33,52,20,0.38823529411764707,-0.22105263157894736,negative,4.454347296253507,-0.9846451918034068,2005-04-08,2005-04-17
1144992-crash,82,59,23,24,0.7195121951219512,0.425531914893617,positive,4.418840607796598,1.880357705445361,2005-05-06,2005-05-15
1146572-honeymooners,61,6,55,23,0.09836065573770492,-0.8068965517241379,negative,4.127134385045092,-3.3301705037950047,2005-06-10,2005-06-18
1146673-1146673-stealth,68,9,59,22,0.1323529411764706,-0.7468354430379747,negative,4.23410650459726,-3.1621808072308646,2005-07-29,2005-08-05
1149472-skeleton_key,77,27,50,23,0.35064935064935066,-0.3446327683615819,negative,4.356708826689592,-1.5014646238873735,2005-08-12,2005-08-21
1149496-1149496-red_eye,91,73,18,24,0.8021978021978022,0.6116504854368932,positive,4.5217885770490405,2.765754178195044,2005-08-19,2005-08-28
1151490-bomb_the_system,6,2,4,4,0.3333333333333333,-0.375,negative,1.9459101490553132,-0.7297163058957424,2005-05-27,2005-06-02
1151780-venom,32,2,30,14,0.0625,-0.8717948717948718,negative,3.4965075614664802,-3.04823736127847,2005-09-16,2005-09-23
1151916-1151916-nine_lives,11,9,2,4,0.8181818181818182,0.5384615384615384,positive,2.4849066497880004,1.3380266575781539,2005-10-14,2005-10-21
