id,initial_review_count,initial_positive_review_count,initial_negative_review_count,initial_top_critic_review_count,initial_positive_review_ratio,initial_combined_sentiment_score,initial_combined_sentiment_label,log_initial_review_count,first_review_date,last_review_date_in_window
10009355-sugar,17,15,2,9,0.8823529411764706,0.7674418604651163,positive,2.8903717578961645,2009-04-03,2009-04-11
10009420-quid_pro_quo,13,7,6,8,0.5384615384615384,0.0,mixed,2.6390573296152584,2008-06-13,2008-06-20
10009421-red,6,4,2,5,0.6666666666666666,0.2941176470588235,positive,1.9459101490553128,2008-08-08,2008-08-16
10009426-guitar,5,2,3,2,0.4,-0.3333333333333333,negative,1.791759469228055,2008-11-07,2008-11-10
10009462-g_force,64,18,46,26,0.28125,-0.4805194805194805,negative,4.174387269895637,2009-07-24,2009-08-01
10009491-just_add_water,2,0,2,1,0.0,-1.0,negative,1.0986122886681098,2008-03-27,2008-03-27
10009493-duchess,50,31,19,23,0.62,0.2195121951219512,positive,3.9318256327243257,2008-09-19,2008-09-28
10009516-women,77,8,69,28,0.1038961038961039,-0.7912087912087912,negative,4.356708826689592,2008-09-12,2008-09-20
10009526-public_enemies,141,100,41,41,0.7092198581560284,0.4055727554179567,positive,4.955827057601261,2009-07-01,2009-07-10
10009552-julia,8,3,5,5,0.375,-0.238095238095238,negative,2.19722457733622,2009-05-08,2009-05-15
10009596-old_dogs,44,1,43,13,0.0227272727272727,-0.9603960396039604,negative,3.80666248977032,2009-11-25,2009-12-04
10009598-surrogates,75,26,49,25,0.3466666666666667,-0.3028571428571429,negative,4.330733340286331,2009-09-25,2009-10-04
10009624-promotion,39,18,21,19,0.4615384615384615,-0.0927835051546391,mixed,3.688879454113936,2008-06-06,2008-06-15
10009632-notorious,57,31,26,24,0.543859649122807,0.1014492753623188,mixed,4.060443010546419,2009-01-16,2009-01-25
10009635-soul_men,54,23,31,19,0.4259259259259259,-0.1811023622047244,mixed,4.007333185232471,2008-11-07,2008-11-14
10009636-igor,31,10,21,11,0.3225806451612903,-0.3698630136986301,negative,3.4657359027997265,2008-09-19,2008-09-27
10009823-sin_nombre,16,16,0,8,1.0,1.0,positive,2.833213344056216,2009-03-20,2009-03-29
10009828-house_of_sleeping_beauties,6,2,4,3,0.3333333333333333,-0.3333333333333333,negative,1.9459101490553128,2008-11-14,2008-11-21
10009872-eden,7,6,1,5,0.8571428571428571,0.6842105263157895,positive,2.079441541679836,2008-11-14,2008-11-21
10009886-vice,4,2,2,2,0.5,0.0,mixed,1.6094379124341005,2008-05-09,2008-05-13
10009890-stone_angel,8,3,5,4,0.375,-0.3,negative,2.19722457733622,2008-07-11,2008-07-12
10009912-on_the_rumba_river,7,6,1,5,0.8571428571428571,0.6842105263157895,positive,2.079441541679836,2008-06-06,2008-06-07
10009926-alvin_and_the_chipmunks_2,41,7,34,18,0.1707317073170731,-0.68,negative,3.737669618283368,2009-12-23,2009-12-30
10009929-a_christmas_tale,33,31,2,18,0.9393939393939394,0.8571428571428571,positive,3.5263605246161616,2008-11-14,2008-11-21
10009992-ripple_effect,2,0,2,0,0.0,-1.0,negative,1.0986122886681098,2008-07-11,2008-07-18
1000_rupee_note_2016,3,3,0,1,1.0,1.0,positive,1.3862943611198906,2016-09-23,2016-09-24
10010066-push,47,10,37,13,0.2127659574468085,-0.6261682242990654,negative,3.871201010907891,2009-02-06,2009-02-13
10010077-felon,9,4,5,6,0.4444444444444444,-0.1666666666666666,mixed,2.302585092994046,2008-07-18,2008-07-26
10010150-unborn,54,7,47,15,0.1296296296296296,-0.7398373983739838,negative,4.007333185232471,2009-01-09,2009-01-17
10010153-bitch_slap,5,2,3,2,0.4,-0.3333333333333333,negative,1.791759469228055,2010-01-08,2010-01-10
10010155-forever_strong,8,3,5,4,0.375,-0.3,negative,2.19722457733622,2008-09-26,2008-09-29
10010208-chocolate,6,5,1,3,0.8333333333333334,0.6,positive,1.9459101490553128,2009-02-06,2009-02-13
10010214-fireproof,14,7,7,8,0.5,-0.0555555555555555,mixed,2.70805020110221,2008-09-26,2008-10-03
10010229-dostana,2,2,0,1,1.0,1.0,positive,1.0986122886681098,2008-11-20,2008-11-20
10010237-tokyo,14,10,4,5,0.7142857142857143,0.4545454545454545,positive,2.70805020110221,2009-03-06,2009-03-14
10010249-the_garden,2,2,0,1,1.0,1.0,positive,1.0986122886681098,2009-04-24,2009-05-01
10010329-splinter,8,5,3,5,0.625,0.3333333333333333,positive,2.19722457733622,2008-10-31,2008-11-08
10010334-leaves_of_grass,8,6,2,4,0.75,0.6,positive,2.19722457733622,2010-09-17,2010-09-24
